date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-02-14,U001,2622754.41,2583467.84,41154886.72000001,2364262.7557142857,2701722.205333333,600419.1638421282,716993.3035500797,2706311.488571428,2274204.7653333335,0.8417611406694371,-2394341.1300000027,12825523.200000018,0.5077611438456827,3,2,0
2019-02-15,U001,2027133.94,3048431.6,40133589.06000002,2322137.79,2674294.4403333333,614066.7550382024,726798.0532288634,2649448.818571429,2332527.1026666667,0.8722028014147659,-2291177.200000003,10253020.130000025,0.5002389721280108,4,2,0
2019-02-16,U001,1628507.1500000001,0.0,41762096.21000002,2255516.055714286,2647174.5026666666,665941.26839244,750552.0132913628,2641570.96,2277873.0486666667,0.8604922140085669,-2702384.3300000057,11079043.620000027,0.5258700823328222,5,2,1
2019-02-17,U001,734194.12,0.0,42496290.33000003,2124319.282857143,2562348.352333334,865183.6814831601,817501.9694325469,2641570.96,2177150.8156666667,0.8496701136221789,-3620761.740000002,11555926.100000031,0.5528299888303884,6,2,1
2019-02-18,U001,2423004.64,23706.97,44895588.00000003,2169103.497142857,2570681.605,872373.3160379244,814665.6044683048,1733540.6500000001,2176322.992,0.8465937546551977,3048939.9299999997,11830758.39000003,0.5821489511144655,0,2,0
2019-02-19,U001,2848137.44,7542604.84,40201120.600000024,2262848.632857143,2618466.6303333337,909694.1424341009,786056.1832027968,2209191.1357142855,2427743.1533333333,0.9271621510121283,375602.4800000042,5721704.310000025,0.5117641515113546,1,2,0
2019-02-20,U001,3275907.63,4474885.38,39002142.850000024,2222805.6185714286,2640614.096,847304.0271485195,795160.1437163127,2524728.0900000003,2576905.9993333337,0.9758737572585213,-2113457.299999997,1911242.9000000209,0.49233677510950247,2,2,0
2019-02-21,U001,3178365.28,3345715.09,38834793.04000002,2302178.6,2649930.691666667,914383.1642197272,799913.5204023167,2633620.554285715,2480081.529333333,0.9359043001134089,-2320093.6799999923,5095474.87000002,0.48850073905863783,3,2,0
2019-02-22,U001,2399364.22,3818838.01,37415319.250000015,2355354.354285714,2612392.638,906511.7465578488,783666.5840383995,2743678.612857143,2526229.4626666666,0.9670175248237959,-2718269.8100000024,2584895.2600000203,0.47740806270536346,4,2,0
2019-02-23,U001,1905699.89,2812.5,39318206.640000015,2394953.3171428572,2551254.2736666664,874974.9533313086,763972.8699220343,2744080.3985714284,2464168.6689999998,0.9658655722537969,-2443889.5700000077,2612568.1400000155,0.5137108055154355,5,2,1
2019-02-24,U001,861668.0,0.0,40179874.640000015,2413163.871428571,2448781.703333333,835065.7056585714,777896.655562256,2744080.3985714284,2393297.68,0.9773421929534156,-2316415.6900000125,1664520.7000000179,0.5469369331057743,6,2,1
2019-02-25,U001,2884683.4899999998,3916866.67,39147691.46000002,2479117.992857143,2470276.857666666,853989.918328475,780827.607411897,3300246.0700000003,2503222.641333333,1.0133368790483614,-5747896.540000007,-988373.5099999756,0.5282497160659353,0,2,0
2019-02-26,U001,3337829.45,3602697.29,38882823.620000005,2549073.9942857143,2509613.813333333,907629.311535251,794150.9267384215,2737402.1342857145,2623312.5509999995,1.045305272493559,-1318296.980000019,-3410962.129999995,0.5164516204766827,1,2,0
2019-02-27,U001,3010115.43,1817042.23,40075896.82000001,2511103.68,2510128.3030000003,877204.4289501804,794480.9440369381,2357710.2557142857,2536662.404333333,1.0105708147673649,1073753.969999984,-796023.0399999917,0.532189221458029,2,2,0
2019-02-28,U001,3223486.8,2871841.08,40427542.54000002,2517549.6114285714,2532324.1963333334,883071.012397585,805083.9589106706,2290013.9685714287,2536616.111,1.0016948519754623,1592749.5,-128757.43999998271,0.5321533290581684,3,2,0
2019-03-01,U001,3042887.24,3776876.0,39693553.78000003,2609481.4714285717,2524169.607,902010.5364024197,798381.9156674227,2284019.395714286,2576626.2593333335,1.0207817462772157,2278234.530000016,-1573699.569999978,0.5241796968254735,4,3,0
